Date,Placements,Impressions,Revenue($),Viewable Impressions
2017-07-11,101594_americancrochet.com_Cross Device,233,0.07,14
2017-07-11,101600_mommyskitchen.net_Cross Device,3305,0.53,515
2017-07-11,101626_youputiton.com_Cross Device,4,0.00,3
2017-07-11,101643_ikream.com_Cross Device,2990,1.07,60
2017-07-11,101648_meditationtechniques.co_Cross Device,128,0.01,20
2017-07-11,101675_dachshundreport.com_Cross Device,10,0.02,4
2017-07-11,101694_whiskaffair.com_Cross Device,2924,1.25,297
2017-07-11,101701_fitting-it-all-in.com_Cross Device,2475,3.54,594
2017-07-11,101702_doesitreallywork.org_Cross Device,10227,17.53,2610
2017-07-11,101710_blogchef.net_Cross Device,5540,4.01,1280
2017-07-11,101717_getdatgadget.com_Cross Device,1747,0.74,164
2017-07-11,101718_thenaturaldoggie.com_Cross Device,17,0.01,3
2017-07-11,101719_examinedexistence.com_Cross Device,2644,1.94,63
2017-07-11,101724_barrentobeautiful.com_Cross Device,242,0.09,22
2017-07-11,101728_cookwithkushi.com_Cross Device,1368,0.42,198
2017-07-11,101746_meijermadness.com_Cross Device,1295,2.27,364
2017-07-11,101747_theviveur.com_Cross Device,243,1.20,67
2017-07-11,101771_foodiefather.net_Cross Device,18,0.01,0
2017-07-11,101776_cooksinfo.com_Cross Device,717,0.34,118
2017-07-11,101777_healthycanning.com_Cross Device,2759,3.12,175
2017-07-11,101802_cozinhalegal.com.br_Cross Device,11567,0.37,2077
2017-07-11,101808_jbklutse.com_Cross Device,91,0.01,2
2017-07-11,101820_hotairfrying.com_Cross Device,1421,1.41,167
2017-07-11,101862_shakeuplearning.com_Cross Device,2398,6.80,127
2017-07-11,101864_daily-affair.com_Cross Device,24,0.00,7
2017-07-11,101865_digiworthy.com_Cross Device,942,1.12,374
2017-07-11,101872_adoubledose.com_Cross Device,1380,1.17,82
2017-07-11,101890_blog.myrecipemagic.com_Cross Device,757,0.04,325
2017-07-11,101911_ddhranch.com_Cross Device,11,0.00,2
2017-07-11,101913_thepinterestedparent.com_Cross Device,4,0,0
2017-07-11,101919_the5krunner.com_Cross Device,2770,4.17,364
2017-07-11,101924_howtobeperfectwoman.com_Cross Device,72,0.01,17
2017-07-11,101931_epicgardening.com_Cross Device,5282,5.29,985
2017-07-11,101933_realityblurred.com_Cross Device,6827,6.68,2180
2017-07-11,101937_yettio.com_Cross Device,244,0.01,105
2017-07-11,101941_youknowdogs.com_Cross Device,11118,0.81,1156
2017-07-11,101962_insidethemagic.net_Cross Device,33870,42.93,1450
2017-07-11,101965_crossingbroad.com_Cross Device,14244,14.02,4476
2017-07-11,101971_thewagging.dog_Cross Device,21370,10.96,12341
2017-07-11,101972_thedoggyuniverse.com_Cross Device,10509,2.52,3589
2017-07-11,101973_pitbullpaws.com_Cross Device,46043,23.21,27067
2017-07-11,101976_entertainment-focus.com_Cross Device,2149,1.08,253
2017-07-11,700013_wokandskillet.com_Cross Device,415,0.13,5
2017-07-11,700021_designeddecor.com_Cross Device,778,1.27,97
2017-07-11,700029_eclecticmomsense.com_Cross Device,1578,0.89,77
2017-07-11,700055_blueyonderurbanfarms.com_Cross Device,88,0.03,8
2017-07-11,700060_freshcrush.com_Cross Device,1037,1.03,179
2017-07-11,700062_utahsadventurefamily.com_Cross Device,1968,3.35,197
2017-07-11,700070_nessamakes.com_Cross Device,101,0.03,17
2017-07-11,700089_hellonatureblog.com_Cross Device,556,0.95,19
2017-07-11,700098_casutalaurei.ro_Cross Device,522,0.00,118
2017-07-11,700109_dishesanddustbunnies.com_Cross Device,4656,3.62,641
2017-07-11,700112_thefragglemomma.com_Cross Device,308,0.28,98
2017-07-11,700113_lizoncall.com_Cross Device,958,0.60,99
2017-07-11,700118_happydealhappyday.com_Cross Device,715,0.22,106
2017-07-11,700122_rhapsodyinrooms.com_Cross Device,84,0.35,9
2017-07-11,700165_lizs-early-learning-spot.com_Cross Device,65,0.04,4
2017-07-11,700176_dearcreatives.com_Cross Device,151,0.16,14
2017-07-11,700182_thechroniclesofhome.com_Cross Device,829,3.20,215
2017-07-11,700201_thehoneycombhome.com_Cross Device,1091,1.45,117
2017-07-11,700203_charmingimperfections.com_Cross Device,570,0.65,80
2017-07-11,700206_justinasgems.com_Cross Device,350,0.11,29
2017-07-11,700208_merrypad.com_Cross Device,686,0.38,132
2017-07-11,700210_theshirleyjourney.com_Cross Device,522,0.38,8
2017-07-11,700234_thestonybrookhouse.com_Cross Device,632,0.74,64
2017-07-11,700254_lifeanchored.com_Cross Device,398,1.40,5
2017-07-11,700271_abackpackerstale.com_Cross Device,89,0.04,12
2017-07-11,700288_classycurlies.com_Cross Device,98,0.09,20
2017-07-11,700292_imhoviewsreviewsandgiveaways.com_Cross Device,194,0.08,10
2017-07-11,700328_thehillhangout.com_Cross Device,744,0.27,38
2017-07-11,700339_thetechieguy.com_Cross Device,1069,0.97,139
2017-07-11,700345_rockymountaincooking.com_Cross Device,130,0.12,8
2017-07-11,700347_whilecamdensleeps.com_Cross Device,366,0.07,10
2017-07-11,700356_justalittlecreativity.com_Cross Device,253,0.09,25
