placement_id,placement_name,line_item_name,revenue,imps,imps_blank,imps_default_error,imps_default_bidder,size
9012003,100511_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.001611,5,0,0,0,320x50
10203273,100989_USINT_MBL_300x250_34258176_1M,Resold Line Item,0.150475,905,0,0,792,300x250
9025062,101596_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,300x250
10712297,101887_USINT_BTF_300x250_34258176_1,Resold Line Item,0.024767,100,0,0,0,300x250
9016885,100876_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.010690,27,0,0,0,320x50
9730185,101707_USINT_BTF_300x250_34258176_1M,Resold Line Item,0.005989,26,0,0,22,300x250
7459108,300003 Demand Fusion,Resold Line Item,0.000000,0,0,0,0,728x90
9011587,100070_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.001169,3,0,0,0,320x50
9480785,100158_USINT_BTF_300x250_34258176_5W,Resold Line Item,0.006566,32,0,0,0,300x250
9025047,101505_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,300x250
11265218,101942_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.055228,16,0,0,0,160x600
9031982,700362_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,300x250
9012793,100255_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,160x600
10107286,101817_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.152720,49,0,0,0,320x50
11106886,101925_USINT_BTF_728x90_34258176_1,Resold Line Item,0.006743,68,0,0,58,728x90
11062790,101919_USINT_TBL_300x250_34258176_1M,Resold Line Item,0.029125,72,0,0,64,300x250
9030480,700307_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.007513,10,0,0,0,300x600
9022236,100916_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,160x600
8421800,101570_USINT_BTF_300x250_34258176_1M,Resold Line Item,0.000000,3,0,0,3,300x250
10496534,101866_USINT_BTF_300x250_34258176_1,Resold Line Item,0.219319,461,0,0,0,300x250
9031792,700345_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,728x90
4523675,100877_USINT_ATF_300x250_34258176_1W,Resold Line Item,0.023880,44,0,0,22,300x250
8538896,101576 Demand Fusion,Resold Line Item,0.000000,0,0,0,0,300x250
