Date,Domain,"Ad Size","Ad Requests","Matched Ad Requests","Fill Rate","Estimated Net Earnings",eCPM
2018-01-24,ahomewithpurpose.com,300x250,2895,51,1.76,0.07,1.47
2018-01-24,gingersnapcrafts.com,300x250,3441,43,1.25,0.07,1.74
2018-01-24,meteorologistjoecioffi.com,320x50,298,69,23.15,0.07,1.08
2018-01-24,workingmommagic.com,300x250,2363,39,1.65,0.07,1.91
2018-01-24,morenascorner.com,300x250,819,29,3.54,0.07,2.56
2018-01-24,thenerdswife.com,320x50,2226,64,2.88,0.07,1.16
2018-01-24,jennycollier.com,300x600,281,45,16.01,0.07,1.64
2018-01-24,spendlessshopmore.blogspot.com,300x250,2116,36,1.7,0.07,2.04
2018-01-24,findingsilverpennies.com,320x50,672,54,8.04,0.07,1.36
2018-01-24,thechroniclesofhome.com,728x90,2629,49,1.86,0.07,1.49
2018-01-24,curiousnut.com,300x600,245,39,15.92,0.07,1.86
2018-01-24,lovehomedesigns.com,320x50,1061,58,5.47,0.07,1.25
2018-01-24,industrystandarddesign.com,160x600,578,55,9.52,0.07,1.32
2018-01-24,thisheartofmineblog.com,300x600,196,45,22.96,0.07,1.59
2018-01-24,minareport.com,320x50,4079,104,2.55,0.07,0.68
2018-01-24,sophisticatedallure.com,300x600,642,57,8.88,0.07,1.24
2018-01-24,trimestertalk.com,728x90,3077,71,2.31,0.07,1
2018-01-24,delishdlites.com,160x600,161,50,31.06,0.07,1.42
2018-01-24,veonoticia.com,320x50,16393,104,0.63,0.07,0.68
2018-01-24,hattifant.com,300x600,224,54,24.11,0.07,1.31
2018-01-24,sofestive.com,320x50,1840,70,3.8,0.07,1.01
2018-01-24,refashionablylate.com,300x250,1716,60,3.5,0.07,1.17
2018-01-24,whilehewasnapping.com,320x50,2180,36,1.65,0.07,1.95
2018-01-24,recipesforourdailybread.com,300x600,412,54,13.11,0.07,1.3
2018-01-24,ahomewithpurpose.com,320x50,1598,72,4.51,0.07,0.97
2018-01-24,thenerdswife.com,728x90,1311,34,2.59,0.07,2.04
2018-01-24,myhumblekitchen.com,728x90,1443,23,1.59,0.07,3.01
2018-01-24,thewonderforest.com,160x600,213,70,32.86,0.07,0.99
2018-01-24,pinoyrecipe.net,300x600,295,46,15.59,0.07,1.5
2018-01-24,workingmommagic.com,728x90,695,36,5.18,0.07,1.91
2018-01-24,athomewithnatalie.com,728x90,1664,36,2.16,0.07,1.9
2018-01-24,zelphontheshelf.com,320x50,1234,74,6,0.07,0.92
2018-01-24,willivia.com,300x250,988,32,3.24,0.07,2.12
2018-01-24,realityblurred.com,160x600,225,53,23.56,0.07,1.28
2018-01-24,katiescucina.com,160x600,146,39,26.71,0.07,1.74
2018-01-24,myuncommonsliceofsuburbia.com,300x600,177,41,23.16,0.07,1.65
2018-01-24,peekaboopages.com,300x600,373,52,13.94,0.07,1.29
2018-01-24,findingsilverpennies.com,160x600,365,35,9.59,0.07,1.9
2018-01-24,themomoftheyear.net,300x250,5685,82,1.44,0.07,0.81
2018-01-24,thisheartofmineblog.com,300x250,5667,48,0.85,0.07,1.38
2018-01-24,bucketlisttummy.com,300x250,4083,58,1.42,0.07,1.14
2018-01-24,aproverbs31wife.com,300x600,223,39,17.49,0.07,1.7
2018-01-24,sowanddipity.com,300x250,2746,38,1.38,0.07,1.74
2018-01-24,thecottagemama.com,320x50,804,44,5.47,0.07,1.5
2018-01-24,financetwitter.com,300x600,150,66,44,0.07,1
2018-01-24,cornerstoneconfessions.com,320x50,167,37,22.16,0.07,1.77
2018-01-24,diyfunideas.com,320x50,2808,86,3.06,0.07,0.76
2018-01-24,ohmydish.com,300x250,4361,70,1.61,0.06,0.92
2018-01-24,myleaderpaper.com,300x600,887,36,4.06,0.06,1.8
2018-01-24,prepared-housewives.com,728x90,1220,30,2.46,0.06,2.15
2018-01-24,home-ec101.com,160x600,444,42,9.46,0.06,1.53
2018-01-24,craft-o-maniac.com,300x600,249,41,16.47,0.06,1.57
2018-01-24,thegoldensycamore.com,300x250,1323,45,3.4,0.06,1.42
2018-01-24,basilmomma.com,300x250,2456,52,2.12,0.06,1.23
2018-01-24,diyfunideas.com,728x90,1786,45,2.52,0.06,1.42
2018-01-24,embracinghomemaking.net,728x90,710,47,6.62,0.06,1.35
2018-01-24,wildflowerramblings.com,300x600,317,32,10.09,0.06,1.98
2018-01-24,onetimethrough.com,160x600,316,46,14.56,0.06,1.38
2018-01-24,jensfavoritecookies.com,300x600,175,35,20,0.06,1.81
2018-01-24,thefitfork.com,300x600,254,36,14.17,0.06,1.75
2018-01-24,girltalkhq.com,300x250,3033,61,2.01,0.06,1.03
2018-01-24,cloudmom.com,728x90,1416,43,3.04,0.06,1.46
2018-01-24,cafelenormand.com,300x600,248,48,19.35,0.06,1.31
2018-01-24,bargainbriana.com,300x600,300,50,16.67,0.06,1.25
2018-01-24,spendlessshopmore.blogspot.com,320x50,149,25,16.78,0.06,2.48
2018-01-24,cookwithkushi.com,728x90,1162,35,3.01,0.06,1.77
2018-01-24,simplesweetsavory.com,300x250,2653,83,3.13,0.06,0.75
2018-01-24,fabnfree.com,300x600,692,29,4.19,0.06,2.14
2018-01-24,thecraftedlife.com,300x250,4929,26,0.53,0.06,2.38
2018-01-24,the2seasons.com,300x600,216,52,24.07,0.06,1.19
2018-01-24,bucketlisttummy.com,728x90,848,44,5.19,0.06,1.4
2018-01-24,foodstorageandsurvival.com,728x90,1184,32,2.7,0.06,1.92
2018-01-24,produceonparade.com,728x90,1815,29,1.6,0.06,2.11
2018-01-24,waterheaterleakinginfo.com,160x600,135,32,23.7,0.06,1.9
2018-01-24,cookilicious.com,300x250,3844,62,1.61,0.06,0.98
2018-01-24,loveoffamilyandhome.net,300x600,205,37,18.05,0.06,1.63
