Date,Placements,Impressions,Revenue($),Viewable Impressions
2017-07-08,101177_refurbished-ideas.com_Cross Device,221,0.12,82
2017-07-08,101179_betsylife.com_Cross Device,1709,0.99,158
2017-07-08,101190_lifeofasouthernmom.com_Cross Device,55,0.06,9
2017-07-08,101211_mariahspleasingplates.com_Cross Device,147,0.84,10
2017-07-08,101240_HoneysQuilling.com_Cross Device,181,0.07,31
2017-07-08,101241_oursmallhours.com_Cross Device,1155,0.82,31
2017-07-08,101247_cleobuttera.com_Cross Device,2585,2.32,70
2017-07-08,101251_michigansavingandmore.com_Cross Device,244,0.04,26
2017-07-08,101259_onlinefanatic.com_Cross Device,38555,19.20,1961
2017-07-08,101261_crochetstreet.com_Cross Device,162,0.04,28
2017-07-08,101272_sarahpetrunoshamanism.com_Cross Device,3833,1.51,847
2017-07-08,101281_makeitcrochet.com_Cross Device,1557,0.39,136
2017-07-08,101289_happyhomefairy.com_Cross Device,3053,1.70,40
2017-07-08,101292_applythelawofattraction.com_Cross Device,4047,0.95,2450
2017-07-08,101296_cutesycrafts.com_Cross Device,2,0,0
2017-07-08,101307_higherperspectives.com_Cross Device,15594,4.35,8745
2017-07-08,101323_drpsychmom.com_Cross Device,3276,2.19,1337
2017-07-08,101333_thefitfork.com_Cross Device,553,0.35,110
2017-07-08,101339_beathem.org_Cross Device,367,0.35,27
2017-07-08,101342_cafelenormand.com_Cross Device,2040,0.22,51
2017-07-08,101344_simplymadewithlove.blogspot.com_Cross Device,400,0.06,52
2017-07-08,101345_chasethewritedream.com_Cross Device,792,0.40,25
2017-07-08,101346_thecolemines.com_Cross Device,68,0.04,6
2017-07-08,101347_farmwifedrinks.com_Cross Device,1863,1.07,63
2017-07-08,101383_theabroadguide.com_Cross Device,1409,0.58,120
2017-07-08,101393_naivecookcooks.com_Cross Device,1849,1.04,110
2017-07-08,101418_andshegames.com_Cross Device,40,0.00,12
2017-07-08,101419_Newsbake.com - In Article Above Comments,41255,9.18,10447
